"EuroPython",2025-08-11,"6176"
"OpenStreetMap Ireland",2025-08-11,"297"
"The Collective Impact Group For Guinea",2025-08-11,"158"
"Women in AI Ireland",2025-08-11,"7120"
"Sentient Projects",2025-08-11,"639"
"Code for Cause",2025-08-11,"21356"
"Colombia Diversa",2025-08-11,"7140"
"SDGs",2025-08-11,"6739"
"InsideAIML",2025-08-11,"19787"
"PumasAI",2025-08-11,"6014"
"FreeLocalMappers",2025-08-11,"1140"
"Global Shapers Community - Thimphu Hub",2025-08-11,"629"
"Fisheries Transparency Initiative (FiTI)",2025-08-11,"3470"
"Women+ in Geospatial",2025-08-11,"37080"
"Ayiti Analytics",2025-08-11,"2021"
"LatinR",2025-08-11,"2583"
"Becht Foundation",2025-08-11,"886"
"NIMBADATA",2025-08-11,"4"
"Digital Earth Africa",2025-08-11,"11312"
"Africa in Science",2025-08-11,"4878"
"BeZero Carbon",2025-08-11,"36406"
"DataSoc",2025-08-11,"897"
"UNDP Guinea-Bissau ",2025-08-11,"3903"
"PLACE",2025-08-11,"1868"
"Amazon Science",2025-08-11,"376721"
"NannyML (acq. by Soda Data Quality)",2025-08-11,"8112"
"The R Foundation for Statistical Computing",2025-08-11,"11989"
"Sylvera",2025-08-11,"41383"
"DataDotOrg",2025-08-11,"13685"
"R LADIES LA PAZ",2025-08-11,"252"
"Innovative Hub for Research in Africa",2025-08-11,"516"
"R-Ladies Tunis",2025-08-11,"752"
"The Julia Language",2025-08-11,"16178"
"Seasalt.ai",2025-08-11,"963"
"The Organization for Women in Science for the Developing World (OWSD)",2025-08-11,"8030"
"Dark Peak Analytics",2025-08-11,"1411"
"R useR Group",2025-08-11,"37"
"R Ladies Curitiba",2025-08-11,"94"
"PyData Southampton",2025-08-11,"207"
"Rx Studio™",2025-08-11,"1044"
"Girls In ICT Niger",2025-08-11,"415"
"GORODATA",2025-08-11,"1577"
"R Ladies Niterói",2025-08-11,"48"
"PySport",2025-08-11,"3557"
"useR! - The R User Conference",2025-08-11,"7234"
"Tag Ng",2025-08-11,"3222"
"Spark",2025-08-11,"7534"
"DATA MANSA",2025-08-11,"190"
"Make Every Woman Count",2025-08-11,"1372"
"Thimphu TechPark",2025-08-11,"622"
"Julius Technologies",2025-08-11,"270"
"JuliaActuary",2025-08-11,"3207"
"PyData Ireland",2025-08-11,"314"
"Ishango.ai",2025-08-11,"3704"
"Black in Data",2025-08-11,"4971"
"DATA CENTRIC AFRICA",2025-08-11,"1365"
"Nivishe Foundation",2025-08-11,"10371"
"Smart Data Foundry",2025-08-11,"5859"
"Datacove",2025-08-11,"1354"
"PyLadies Dublin",2025-08-11,"751"
"Oman Data Science Organization ",2025-08-11,"142"
"R-Ladies Saudi Arabia (Dammam)",2025-08-11,"424"
"Software Insights Ireland",2025-08-11,"1266"
"R-Ladies Tbilisi",2025-08-11,"197"
"ViviFiy",2025-08-11,"708"
"cynkra",2025-08-11,"973"
"PyData Global",2025-08-11,"7460"
"PackagingCon",2025-08-11,"160"
"HackHills",2025-08-11,"435"
"McKinsey Africa",2025-08-11,"50930"
"Compylo",2025-08-11,"1252"
"Statistics Globe",2025-08-11,"12366"
"Statistical Models for Social Sciences Consultant",2025-08-11,"4896"
"PyData Eindhoven",2025-08-11,"1882"
"R-Ladies Gaborone",2025-08-11,"805"
"X-Europe Data Science",2025-08-11,"92"
"rOpenSci",2025-08-11,"1969"
"R-Ladies Urmia",2025-08-11,"338"
"Inlecom Commercial Pathways",2025-08-11,"1270"
"Microsoft Research",2025-08-11,"323880"
"Tunis R User Group",2025-08-11,"730"
"VISO Cyber Security",2025-08-11,"1282"
"DeepVidhya",2025-08-11,"400"
"scikit-learn",2025-08-11,"121588"
"DuckDB",2025-08-11,"42722"
"R-HTA in LMICs",2025-08-11,"1265"
"Legato Health Technologies Ireland",2025-08-11,"9744"
"R-Ladies Cologne",2025-08-11,"360"
"Rladies Madrid",2025-08-11,"103"
"Applied Epi",2025-08-11,"8814"
"BIMS",2025-08-11,"2900"
"Midlands Ireland",2025-08-11,"6108"
"Edmonton R User Group",2025-08-11,"79"
"R-Ladies D.C.",2025-08-11,"173"
"SciML",2025-08-11,"4013"
"NumPy",2025-08-11,"4040"
"Pandas",2025-08-11,"3600"
"InciSioN-UGANDA",2025-08-11,"283"
"Gestion et Administration des Entreprises- INP-HB",2025-08-11,"670"
"PyData Prague",2025-08-11,"361"
"NawiriTech",2025-08-11,"1791"
"Expertise Data Vision (EDaVi)",2025-08-11,"88"
"R-Ladies Paris",2025-08-11,"1460"
"HyperAI",2025-08-11,"2870"
"PyData Pittsburgh",2025-08-11,"529"
"R-Ladies Zürich",2025-08-11,"325"
"BCG X",2025-08-11,"304134"
"R-Ladies Rome",2025-08-11,"800"
"Bioconductor",2025-08-11,"2769"
"SaLLy • Statistical Learning Laboratory",2025-08-11,"2237"
"JuliaLang Eindhoven",2025-08-11,"617"
"PyLadies Seattle",2025-08-11,"316"
"RSS Real World Data Science",2025-08-11,"956"
"Overture Maps Foundation",2025-08-11,"10166"
"R-Ladies NYC",2025-08-11,"155"
"R-Ladies St. Louis",2025-08-11,"172"
"Makie",2025-08-11,"77"
"thaink²",2025-08-11,"1246"
"Learning Bayesian Statistics",2025-08-11,"3447"
"Carelon Global Solutions Ireland",2025-08-11,"29150"
"QTA Tech",2025-08-11,"1515"
"CellClar CIC",2025-08-11,"2699"
"Ghana R Users Community",2025-08-11,"651"
"Women in Data Science (WiDS) Kenya",2025-08-11,"1911"
"Midlands ICT Network",2025-08-11,"952"
"PyData London",2025-08-11,"1126"
"Health and medical sciences programme | The Alan Turing Institute",2025-08-11,"1922"
"Open Source in Pharma",2025-08-11,"1914"
"FemAnalytica",2025-08-11,"1562"
"EnableD",2025-08-11,"336"
"PyData Slovakia",2025-08-11,"87"
"Women in Data Science (WiDS) Dublin",2025-08-11,"803"
"R-Ladies São Paulo",2025-08-11,"1242"
"Bike Library",2025-08-11,"1467"
"blaze tech newsletters",2025-08-11,"40"
"R-Ladies Cairo",2025-08-11,"221"
"Global Collaboration Partners Limited",2025-08-11,"289"
"RLadies Vancouver",2025-08-11,"55"
"Psych #rstats Club",2025-08-11,"732"
"Safi App",2025-08-11,"228"
"NASA International Space Apps Challenge Dublin",2025-08-11,"836"
"Nature Globe",2025-08-11,"287"
"Polars",2025-08-11,"21515"
"R-Ladies Manchester",2025-08-11,"119"
"FastAPI",2025-08-11,"50040"
"Castellanos Global",2025-08-11,"384"
"AI Signals",2025-08-11,"486"
"R-Ladies Lancaster",2025-08-11,"192"
"R-Ladies Santiago",2025-08-11,"280"
"Spatial Data Science Conference",2025-08-11,"4474"
"The Navigation Fund",2025-08-11,"976"
"Cloud-Native Geospatial Forum (CNG)",2025-08-11,"7458"
"ZIMSA - Zimbabwean Statistical Association",2025-08-11,"2081"
